StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Group,ID,renumbered ID,enjoyment_singing,trust_pre,enjoyment_speaking,same_team_pre,embarrassment_singing,similar_pre,embarrassment_speaking,ties_pre,common_pre,outgoing,closeness_pre,difficulty_post,trust_post,enjoyment_task_post,same_team_post,embarrassment_task_post,similar_post,follow_instruction_post,synchronization_post,ties_post,strongly agree,common_post,leader_post,closeness_post,public_goods_game,goal_experiment,difficulty_final,trust_final,enjoyment_task_final,same_time_final,embarrassment_task_final,similar_final,follow_instruction_final,synchronization_final,ties_final,common_final,leader_final,closeness_final,age,gender_choice,gender_other,native language,ethnicity,religious,city_experiment,birthplace,musicianship_self_perceived,musicianship_compliment,know_song,like_song,sing_regularly,singing_training,instrument_training,recoded_instrument_training,instrument,participant_met_number,rate_group_familiarity,comment
2025/5/19 17:31,2025/5/19 18:01,IP Address,202.36.244.2,100,1797,TRUE,2025/5/19 18:01,R_4oz5Enf8kvq6EoY,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,2,2,0,52,69,53,100,50,0,24,0,75,35,19,26,47,47,81,28,100,81,20,100,25,4,27,50.14,目的是研究大家在小组活动唱歌中的心理反应与变化，最后的结果将会把每个成员按照活动进行时的心理活动，进行分类，最后统计分类结果。,80,81,64,81,69,44,77,87,60,46,8,43,20,Man,,Chinese,中国人,无,新西兰奥克兰,中国内蒙古自治区呼和浩特市,26,60,100,66,7,0,15,15,马头琴,1,18,希望在后半段增多讨论沟通的时间
2025/5/19 17:31,2025/5/19 18:02,IP Address,202.36.244.46,100,1890,TRUE,2025/5/19 18:02,R_4MM48nr4AiENVLB,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,4,4,0,100,52,100,52,100,0,54,53,54,52,50,100,100,100,0,100,100,100,100,100,100,100,100,82.61,培养人和人之间的默契配合 和协作能力 我认为这是一个好的结果 通过简单的合唱让每个人都可以快速的融入这个集体,0,100,100,100,0,55,100,100,100,56,58,100,24,Man,,中文,中国人,,新西兰,中国,0,0,100,100,58,0,2,2,竹笛,0,,很完美的一项研究
2025/5/19 17:31,2025/5/19 18:03,IP Address,202.36.244.2,100,1913,TRUE,2025/5/19 18:03,R_42YgEaebKZuqsi0,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,7,7,100,62,68,54,42,51,53,53,53,52,49,52,100,73,88,51,54,100,71,51,100,34,49,51,50.16,探究同种语言的音乐形式能够拉近人与人之间的关系以及探究语言和音乐对集体感的影响，结果可能是正向影响,0,72,92,50,34,51,100,100,49,49,32,52,22,Man,,中文,中国人,无,新西兰奥克兰,中国山东青岛,79,100,100,51,100,0,8,8,葫芦丝 巴乌 单簧管 手风琴 钢琴 古筝,1,16,无
2025/5/19 17:31,2025/5/19 18:03,IP Address,202.36.244.12,100,1892,TRUE,2025/5/19 18:03,R_4aDQv1YETpGteJr,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,6,6,0,51,86,50,0,53,0,51,29,61,48,2,100,54,100,0,55,100,75,63,100,36,73,50,39.87,体现团队合作？结果看团队的配合程度,0,100,68,100,0,60,100,71,50,51,50,74,31,Man,,中文,中国人,无,新西兰奥克兰,中国浙江省衢州市,0,0,100,51,0,无,无,0,,1,0,无
2025/5/19 17:31,2025/5/19 18:03,IP Address,202.36.244.2,100,1970,TRUE,2025/5/19 18:03,R_4d1UyDOMGGFyURr,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,5,5,100,100,100,79,0,0,0,19,20,100,52,0,100,100,100,0,20,100,74,28,100,27,75,75,50.14,探究合唱对于在集体中个人定位感受的影响，以及集体中的个人贡献,0,100,100,100,0,100,100,100,91,90,74,86,26,Woman,,简体中文,中国人,无,新西兰奥克兰,中国长沙,11,40,100,100,100,0,0,0,0,0,,我觉得很有趣，但是读题时间感觉预留太久了，基本上大家都结束了还等很久才开始下一个部分。
2025/5/19 17:31,2025/5/19 18:04,IP Address,202.36.244.44,100,1983,TRUE,2025/5/19 18:04,R_4oAnvGrDn5VEwWH,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,1,1,64,50,44,100,44,82,82,93,91,20,46,52,91,99,99,18,100,88,78,99,100,95,98,56,70.38,团结以及传播文化，会非常完美,51,100,100,100,0,74,99,100,100,65,100,82,19,Woman,,中文,中国人,,新西兰,中国,59,38,100,100,99,0,0,0,,1,3,很棒的研究
2025/5/19 17:28,2025/5/19 18:04,IP Address,49.224.234.24,100,2124,TRUE,2025/5/19 18:04,R_9CMXg03RTC8M28D,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,3,3,100,100,100,89,3,89,2,50,93,100,55,0,90,100,90,2,79,100,98,67,100,66,60,50,50.21,同语言背景下陌生人之间的连结关系，不确定实验结果,1,83,100,98,2,63,100,87,80,87,59,52,30,Woman,,中文,中国人,无,新西兰奥克兰,中国榆林,53,80,100,100,28,无,无,0,无,0,,挺好玩的，可以多一点类似的实验。歌曲可以换个不是反复循环的歌词嘛
2025/5/19 18:46,2025/5/19 19:11,IP Address,202.36.244.6,100,1510,TRUE,2025/5/19 19:11,R_9smENMXyzxEEiab,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,R,6,9,52,99,22,100,5,51,38,55,54,13,0,4,100,51,100,0,47,100,82,52,100,54,85,29,0,我不清楚,0,100,75,100,0,51,50,100,53,1,66,30,18,Woman,,中国,中国人,,新西兰奥克兰,中国成都,50,73,100,77,78,,,0,,0,,没有
2025/5/19 18:36,2025/5/19 19:11,IP Address,161.29.92.17,100,2063,TRUE,2025/5/19 19:11,R_4td9IqqKU0o7rod,,,,,-36.8565,174.7516,qr,ZH-S,Yes - I want to continue on to the study questions,R,3,10,76,49,50,25,0,27,47,0,0,25,0,0,49,23,75,27,49,84,77,24,100,23,100,30,100,我认为是测试朗读和歌唱是否会对人之间的连接关系产生正面影响，我认为结果会证明其正面影响,0,50,48,81,0,18,100,81,48,19,75,51,18,Man,,汉语,中国人,无,新西兰 奥克兰,中国 大连,49,77,100,53,100,0,2,2,钢琴，架子鼓,0,,我认为第一个问题给的时间过长，让人不知道该干些什么，不确定是否是实验的一部分。
2025/5/19 18:36,2025/5/19 19:11,IP Address,202.36.244.18,100,2070,TRUE,2025/5/19 19:11,R_4YqSEcawW9T5zKV,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,R,1,12,70,96,98,100,0,55,10,51,53,97,54,50,100,52,50,54,53,100,100,75,100,56,78,48,50,目的是为了研究世界范围内音乐和语言的关系，结果可能是关联很紧密,75,100,53,54,82,55,100,93,51,56,58,52,23,Woman,,普通话,中国人,无,新西兰奥克兰,中国河北省秦皇岛市,4,6,100,52,29,0,3,3,钢琴,1,83,无
2025/5/19 18:36,2025/5/19 19:11,IP Address,202.36.244.197,100,2089,TRUE,2025/5/19 19:11,R_4foURPpciVslFPr,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,R,2,13,62,100,50,50,50,15,100,0,0,52,9,0,100,100,51,51,0,100,100,0,100,0,100,7,30.2,调查研究 可能有的问题大家的回答很相似,0,100,50,100,52,0,100,100,51,0,100,9,19,Woman,,汉语,中国人,,新西兰奥克兰,中国内蒙古自治区,0,0,100,46,0,没学过,从不到6岁学到初二,8,古筝 架子鼓,1,83,没有
2025/5/19 18:36,2025/5/19 19:12,IP Address,202.36.244.8,100,2128,TRUE,2025/5/19 19:12,R_4w1vx9ZtqJrLXW1,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,R,4,8,82,51,31,18,33,34,28,9,31,50,8,79,49,9,31,79,83,32,64,13,100,66,76,19,50,陌生人之间的信任度是否因为音乐或者合作而提升？/在合作中的个人贡献与信任之间的关系,50,48,23,75,50,22,87,70,82,54,88,53,23,Woman,,中文,中国人,无,新西兰奥克兰,中国湖南株洲,71,91,100,89,100,0,1,1,琵琶,0,,朗读有点尴尬�
2025/5/19 18:36,2025/5/19 19:13,IP Address,49.224.211.242,100,2161,TRUE,2025/5/19 19:13,R_4j1lUr53YkEFE6h,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,R,5,11,50,74,82,50,70,19,7,23,50,26,12,4,46,45,64,45,19,100,30,15,100,16,100,21,80.34,一种服从性测试。没有什么结果。,7,100,53,74,10,20,100,76,19,19,49,29,47,Man,,中文,中国人,,新西兰奥克兰,中国北京,100,100,100,50,100,一个月,10年,10,大提琴,0,,很有意思。有神秘感。
2025/5/19 20:04,2025/5/19 20:35,IP Address,202.36.244.50,100,1840,TRUE,2025/5/19 20:35,R_4xPgsGuJjK6Movz,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,C,2,18,49,85,28,69,52,54,40,16,17,12,24,20,71,39,73,48,17,100,100,54,100,57,61,17,51.25,了解每个人的性格，如果样本很大可能会比较准确,6,41,54,55,12,42,50,38,37,30,59,34,26,Woman,,中文,中国人,无,新西兰 奥克兰,中国北京,10,12,100,74,14,0,0,0,无,1,0,没有
2025/5/19 20:04,2025/5/19 20:35,IP Address,202.36.244.2,100,1872,TRUE,2025/5/19 20:35,R_4Mu03mNlKMSLf1s,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,C,4,15,1,100,51,6,100,4,55,7,5,51,51,55,100,27,100,79,8,100,82,53,95,12,98,31,50.14,发表研究论文？证明一些语言的内容之类的,37,100,39,82,28,11,100,100,43,42,100,52,18,Woman,,中文,中国人,无,新西兰奥克兰,中国九江,17,11,100,68,9,没有接受过,没有接受过,0,,0,,可以加入一个让参与者自我介绍的环节
2025/5/19 20:04,2025/5/19 20:35,IP Address,122.56.200.106,100,1902,TRUE,2025/5/19 20:35,R_4eTwKzdkhk2m7lL,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,C,5,16,53,57,100,100,54,51,58,54,54,100,100,13,100,100,11,10,7,100,52,7,100,10,11,53,51.08,了解大家的想法，是否是一个团队,9,98,99,98,10,9,99,98,52,56,6,50,,Woman,,中文,中国人,没有,奥克兰,中国,100,16,100,100,100,0,1,1,吉他,0,,我觉得非常有意思的实验，大家在实验中逐渐熟悉后有一些默契了，有时候会对视
2025/5/19 20:04,2025/5/19 20:35,IP Address,202.36.244.44,100,1889,TRUE,2025/5/19 20:35,R_9YRfAewsNyczxTW,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,C,1,14,100,100,100,100,50,100,50,100,100,100,100,52,100,100,100,47,100,100,100,100,100,100,49,100,50.16,让我们互相交流，了解大家，一起唱歌，成为朋友,49,100,100,100,47,100,100,100,100,100,51,100,19,Woman,,中文,中国人,无,新西兰 奥克兰,中国 山东省 济南市,50,51,100,100,100,3,3,3,长笛,2,61,无
2025/5/19 20:04,2025/5/19 20:36,IP Address,202.36.244.4,100,1945,TRUE,2025/5/19 20:36,R_9GOKK46cSE35mGM,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,C,3,19,34,50,61,47,48,77,45,78,61,26,0,28,77,53,78,47,73,82,54,38,100,56,7,15,50,目的是研究音乐和语言的关系,78,100,31,100,66,65,37,38,67,62,59,45,25,Man,,中文,中国人,基督教,奥克兰，新西兰,景德镇，中国,28,51,78,46,62,0,1,1,吉他,1,100,没有
2025/5/19 20:04,2025/5/19 20:37,IP Address,202.36.244.26,100,1964,TRUE,2025/5/19 20:37,R_4c5YVsOA39SE6p3,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,C,7,20,37,37,64,32,65,47,22,16,56,57,23,43,48,33,48,23,57,55,46,40,100,65,14,26,42.44,看交谈能不能让我们感觉到更加团结？我认为会有效果的，但不是很显著,25,54,36,59,56,43,61,43,60,50,60,35,19,Woman,,中文,中国人,无,新西兰，奥克兰,中国，福州,22,51,67,55,56,0,1,1,钢琴,0,,之前不知道是小组形式的
2025/5/19 20:04,2025/5/19 20:38,IP Address,202.36.244.253,100,2054,TRUE,2025/5/19 20:38,R_45FOUTkyaHhDaTs,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,C,6,17,66,100,100,100,20,41,12,68,68,100,52,29,100,92,100,17,3,96,68,40,100,22,3,52,60.51,可能是研究音乐语言年龄和人声音的关系。我觉得肯定是有关系的，可以分辨出是谁。,4,87,53,100,0,21,100,89,100,26,97,75,19,Woman,,普通话,中国人,无,奥克兰，新西兰,太原，中国,0,53,100,100,88,0,5,5,钢琴,1,0,
